Title,Author Name,Rating,Review,Size,Helpfullness,Review_Date
"
Not the good made in USA ones of years ago
",Outdoor Enthusiast!,1.0 out of 5 stars,"

  I have worn Crocs for years, but the well-made ones that came from the USA (Colorado) many years ago.  These made in China ones are a harder plastic and extremely wide so that my feet slip around in them or the shoes fall off.  They also aren't anywhere near as comfortable due to the harder plastic, even if they did fit properly.  I have already started the return process, very disappointed since after many years, my American made ones are finally starting to wear out and need replacing

",Size: 9 Women/7 MenColor: Grass Green,367 people found this helpful,"Reviewed in the United States on July 18, 2018"
"
Two completely different sized shoes marked the same size
",MoMo Wondertoes,1.0 out of 5 stars,"

  We have been buying crocs for a long time and this time we received crocs that were marked the right size .... but one was significantly smaller and more narrow than the other. This was something we only realized after leaving on vacation. Our 12 year old constantly complained that the one was too small and the other was too large. He had to wear them until we could find a store to buy him flip flops and so we couldn't return them by the time we got back as they had been worn. Not sure what happened here but I have them and they are definitely two different sizes...

",Size: 7 Women/5 MenColor: Black,327 people found this helpful,"Reviewed in the United States on August 6, 2017"
"
Love Crocs but....
",PJM,1.0 out of 5 stars,"

  I was hoping these would fit like the Classic Clog Crocs I already have but, they still feel too small.  It's the third pair I've ordered lately and can't seem to find the fit I was hoping for.  Ended up donating these and the others to Value Village since I had worn them a couple of times.  None of them seemed as roomy as the ones I have almost worn out.  I love Crocs but am frustrated trying to find the right fit!

",Size: 9 Women/7 MenColor: Navy,157 people found this helpful,"Reviewed in the United States on June 25, 2018"
"
Not buying Crocs.
",Shemit,1.0 out of 5 stars,"

  I would never recommend the now-a-day Crocs clogs to anyone

crocs Unisex Classic Clog,Black,5 M US Men's / 7 M US Women's

  . I have worn a pair of Crocs clogs for over 10 years and decided it was time to replace them. The clogs now are nothing like the clogs of years ago. And sad to say the quality of what was a great buy is gone. This clog is now a plastic of some sort and the insole is not any more comfortable than a regular pair of shoes. I normally wear 6.5US and got a size 7. They are tight across the foot when using the strap, my foot is pushed forward and is uncomfortable. But without the strap the clog doesn't seem to fit right. Sorry to say I will not be buying Crocs clogs anymore.

",Size: 7 Women/5 MenColor: Black,154 people found this helpful,"Reviewed in the United States on May 27, 2017"
"
Didn't last a month
",Amazon Customer,1.0 out of 5 stars,"

  I bought these to replace an earlier pair which were just great, and which I wore for two years.  These were the exact same size and style as before (different colour only).I received these on October 4th, 2018.  Photo taken November 2nd, 2018.  That is less than a month.  You can draw your own conclusions from a glance at the photo.Also, this pair seemed smaller/tighter than the original pair, despite supposedly being the exact same size.  And the rivet/pivot on the strap raised a nasty blister on my foot.Will have to give serious thought before buying another pair of these!

",Size: 11 Women/9 MenColor: Navy,71 people found this helpful,"Reviewed in the United States on November 2, 2018"
"
Not a good Croc
",Kathleen Stewart,1.0 out of 5 stars,"

  These are a cheap Crocs.  They have no arch support like the better Crocs do, the rubber is hard and not flexible and soft like other Crocs.  And they are much too large for a womens B width foot.  In fact, these Crocs actually hurt my feet and legs when I wore them out.  I will never wear these Crocs again.  In fact, I am taking them to Goodwill today and I just got them!I have 2 pairs of older Crocs that cured my Achilles tendinitis and plantar facshitis (spelling sorry), that mold to my feet and are so soft and cushiony and non slip.I think alot of what's wrong with these Crocs is the unisex thing.  I wouldn't buy them if I were you, you'll be sorry.

",Size: 10 Women/8 MenColor: Chocolate,138 people found this helpful,"Reviewed in the United States on January 14, 2017"
"
Are they Knockoffs or just made much cheaper?
",🌷🌄Candy💋✨,1.0 out of 5 stars,"

  Either I got a knock off pair, or the quality of Crocs has went way down. The new ones are made much cheaper and smaller, and the harder plastic is more uncomfortable. There is no more padded arch or footbed (insole), and they are just downright uncomfortable compared to the nice soft, thicker rubber they used to make them with. What happened Crocs? PLEASE bring back the Original Great Quality!

",Size: 10 Women/8 MenColor: Black,38 people found this helpful,"Reviewed in the United States on July 31, 2018"
"
Quality has fallen
",Kindle Customer,1.0 out of 5 stars,"

  I bought a pair supposedly in the same style and size as my original pair from 8 years ago.  The change was both startling and disappointing.The size of the new pair is visibly smaller than my original pair.The little rise at the back of the footbed is almost non-existent so my feet slide out backwards as I walk.The nubs on the footbed are so coarse it's like walking barefoot on gravel.Overall, they are very tight compared to the originals.  In fact so tight that I had to reorder in a larger size.

",,27 people found this helpful,"Reviewed in the United States on March 31, 2019"
"
Was sent a cheap knock off instead of the real thing!!!!!
",Bravo Lima,1.0 out of 5 stars,"

  The product I received was not Crocs! I got some knock off brand called ""Satihu""  They looked just like Crocs and I didn't notice right away, but I started getting tendonitis pain in my left foot.  This is a recurring problem that is usually improved by wearing Crocs.  I took a closer look at the shoes and was shocked to see that they aren't real.  I went back and checked by order to make sure that the mistake wasn't mine, but the order clearly states that I purchased Crocs.

",Size: 10 Women/8 MenColor: Black,41 people found this helpful,"Reviewed in the United States on December 7, 2017"
"
Not a Roomy Fit!
",Dahak72,1.0 out of 5 stars,"

  I don’t know what to tell you. Crocs are dead to me. I have searched high and low for the elusive roomy fit crocs that I first purchased about five years ago. They were made in Mexico of a somewhat softer material than the new ones I find now. After much research, I thought the Classic Crocs were the ticket with their “roomy fit” description. This description is BS. I don’t think Croc makes a roomy clog anymore. I certainly can’t find it if they do.

",Size: 12 Women/10 MenColor: Chocolate,19 people found this helpful,"Reviewed in the United States on March 2, 2019"
"
Orange!!
",Leslie Kain,1.0 out of 5 stars,"

  February 2019 Review:Shoes fit perfectly but there was a weird orange stain on them I saw when I first opened the package. Possibly used shoes and then resold?September 2019 Review:I love love love my crocs but I have only had them for 7 months and now they are completely turning orange. I have no idea how they are turning orange and I really wish I had the clean sleek white croc color as appeared in the product ad.  I could see your crocs possibly turning green if you walk in the grass a lot with them on but orange!? I have nothing in my home or outside that would explain this. Super sad to see my first pair of crocs not even last a year. First two images are when I first opened package and next two images are updates I took this morning. :(

",Size: 7 Women/5 MenColor: White,11 people found this helpful,"Reviewed in the United States on February 14, 2019"
"
Crocs has apparently decided to save money on materials by ...
",Vick DeGiorgio,1.0 out of 5 stars,"

  Crocs has apparently decided to save money on materials by shrinking the shoes. These are a full 1/2 inch shorter and 3/8 inch narrower than the same size ones they were intended to replace. I have returned them. I'm hesitant to order a larger size as they are also narrower, so I guess after 15 years of wearing them, I will have to find another shoe.

",Size: 14 Women/12 MenColor: Black,25 people found this helpful,"Reviewed in the United States on May 4, 2017"
"
FAKE
",Joy,1.0 out of 5 stars,"

  DO NOT buy these crocs if you are looking for the real deal, they are huge and the holes are the wrong size/ in the wrong places. They look fine on their own, but compared with real ones they are obviously fake. Spend the extra 5-10 dollars on real ones from the store or Crocs website.

",,14 people found this helpful,"Reviewed in the United States on October 14, 2018"
"
What's halppend to Crocs?
",Judith E. Oakland,1.0 out of 5 stars,"

  I wish I had believed the comments about various size differences according to country of manufacture.  The Crocs I've always purchased in the past ran at least a size too large and very wide.  So, I ordered a size smaller than I usually wear; but the Croc slip-on I received is like a woman's size 8 regular (and I wear and 11 wide).  I can't even get my foot into it.  I guess I'll have to branch out to another brand of footwear that's more reliable.  I hate returning things and I usually just take the loss, but these are going back.

",Size: 10 Women/8 MenColor: Black,10 people found this helpful,"Reviewed in the United States on December 8, 2018"
"
Uncomfortable
",Janet Mustain,1.0 out of 5 stars,"

  I got these because I wanted something that could get wet, without needing to dry forever like tennis shoes, for when I have to take the dogs for their morning walk, and still protect my toes and provide some arch support. I should never have bought them.First, if you have wide feet, just don't bother.  I ordered the Men's 9, because I wear an 11 Wide in Women's shoes.  HA!  These were barely long enough and tighter than any other man's shoe I've ever tried on before.  I wear men's tennis shoes because I have wide feet, but these shoes are very narrow for men's shoes.Second, your feet will sweat in these like crazy.  If you thought your feet sweat in your workout shoes, just wait till you wear these for a few minutes in the heat.  I have feet that sweat, not as bad as some people I know, but still, I like a shoe that breathes.Third, the little nubs that are supposed to keep your feet from slipping are very hard and unpleasant on the bottom of your feet and, even though this shoe runs small, your foot will slip around once it starts to sweat or gets wet.These are now shower shoes only, and that is a lot of money to spend on something you can only wear to take a shower.

",Size: 11 Women/9 MenColor: Tangerine,5 people found this helpful,"Reviewed in the United States on June 17, 2020"
"
Obviously counterfeit product
",ruth croghan R.Ph.,1.0 out of 5 stars,"

  I have owned Crocs in the past and these were not of the same quality. The left show was significantly larger than the right. The shoes were a slightly different color. PLEASE read the negative comments before purchasing! I did but was swayed but the amount of 3 + star ratings and failed to read the negative comments which matched what i experienced. Buy at your own risk. These were not made in the USA rather in Vietnam.

",Size: 10 Women/8 MenColor: Pepper,6 people found this helpful,"Reviewed in the United States on May 31, 2020"
"
Uncaring company!
",Kindle Customer,1.0 out of 5 stars,"

  I am very upset! I spent $45.00 purchasing these to wear a month!??!! The first time I cleaned them in hot, soapy water.....by morning when I put them on my feet, the left one had shrunk CONSIDERABLY. The right one only a little. Regardless, I cannot wear them now. The left foot is too short and it squeezes my foot as it became very narrow and snug!So be careful cleaning them. You may have regrets like myself! What a waste of my money!!!**ordered a second time because I loved the heel cushioning these offered up until the left foot shrunk. We shall see how the second pair work out. So far, so good but I haven't attempted to clean them either.  I will update after I do. I have to say I am absolutely DISGUSTED I have not heard from the seller! So even if this second pair works out, I will never give them more than one star. That is extremely poor customer relations. Obviously once they have your money, they could care less if you have an issue with your shoes.

",Size: 13 Women/11 MenColor: Neo Mint,2 people found this helpful,"Reviewed in the United States on June 13, 2020"
"
Toe box not nearly as high as previous Crocs
",Candace,1.0 out of 5 stars,"

  I have one pair of Crocs, ordered from Amazon in 2008.  This year, they got full of paint due to painting our house.  There still is nothing wrong with them other than the paint.  So, I decided to treat myself to a new pair.  The new ones are stiff, the nubs on the inside hurt and the toe box really wants to yank off my baby toenail, even though I trim them weekly.  Returning.  Way to screw up a great product, Crocs.  I soaked my old ones in soap and water overnight, dried them in the sun, stuffed newspaper inside and gave them 2 coats of Rustoleum flat black spray paint.  Viola!  Like new.  I am now a former Crocs customer.  The old ones fit like a glove and are the most comfy shoes I own.

",Size: 10 Women/8 MenColor: Black,4 people found this helpful,"Reviewed in the United States on September 23, 2019"
"
Sizing Inconsistencies (maybe based on region of manufacture)
",Frank,3.0 out of 5 stars,"

  This was my first pair of Crocs. I'm a men's size 8 in almost all brands of sneakers, so ordered my normal size. When these arrived, they were massive. My feet were swimming in them, and I could rattle them around by shaking my feet, heel straps engaged. But, I read that Crocs are supposed to be very loose, and just rolled with it. They never felt right, and so I decided to stop by a local Crocs store to make sure. The Crocs at the retail store in the same size/model were completely different. Since I had them both, I was able to compare and the Amazon ones felt and looked more like a size 9 or 10. I thought maybe they were fakes, but they were sold directly by Amazon and looked legit. The only difference I could tell was the retail store ones were made in Vietnam, whereas the Amazon ones were Brazil. So maybe they have very different injection molds at each location that cause for the size inconsistencies. Luckily, Amazon allowed me to return them and I bought a properly fitting size 8 pair of Crocs, made in Vietnam.

",Size: 10 Women/8 MenColor: Black,3 people found this helpful,"Reviewed in the United States on June 30, 2019"
"
Not like original Crocs!!
",Wedoidos,3.0 out of 5 stars,"

  I’m a nurse and wore Crocs for years. Love them, they’re ugly but sooooo comfortable. I retired and gave all my Crocs away ☹️I decided I needed 1 pair to go to Disney World so I ordered these and was so excited to get them but...... they are NOT nearly as comfortable as original Crocs, in fact they hurt my feet without thick socks. The little nubs in the sole are kinda sharp and the shoes are not cushy.So disappointed ☹️ I’m at Disney and my feet aren’t happy.

",Size: 8 Women/6 MenColor: Khaki,3 people found this helpful,"Reviewed in the United States on March 13, 2020"
"
Like big fuzzy pink slippers, only, not.
",Mommy LoCo,3.0 out of 5 stars,"

  Sigh, I expected to love these. My boys are so obsessed with their crocs that they practically live in them. My mother also insists they are the only shoe comfortable enough for all day wear for working on her feet all day. However, I immediately noticed how big they look. I slipped them on, hoping they would look less large, but no, they looked like little boats for my feet. I figured this would be ok, mostly wearing these for stream play, but they are constantly filling with sand and little pebbles. So of course, that is not a great quality in shoes dedicated to stream play. However, when I was brave enough to wear these ridiculous slippers out in public, the squeaked with every single step. Given their high price tag, I’m pretty disappointed.

",Size: 8 Women/6 MenColor: Lavender,One person found this helpful,"Reviewed in the United States on September 24, 2020"
"
Not the real thing
",Jona,1.0 out of 5 stars,"

  I have purchased several pairs of crocs in the past, and this pair was supposed to be exactly identical to a pair I had previously purchased on Amazon. I actually clicked ""Buy it again"" on that previous order.These are not the same shoes. The new one is way too tight, and just a couple weeks after getting them and leaving them outside for a few days under the elements, they are now bent. The pair I purchased in the past stayed outside much longer, and is still in perfectly good condition. I seriously doubt these are real Crocs, or Crocs has recently drastically lowered the quality of their products. Crazy that this is sold by Amazon. Seriously?

",Size: 13 Women/11 MenColor: Black,3 people found this helpful,"Reviewed in the United States on July 29, 2020"
"
Very wide!
",Samantha,3.0 out of 5 stars,"

  These are much stiffer and wider than the Crocs from past years. The length was fine but they were wide boats on my feet! Since the description didn't say they're wide I was expecting the same snug feel they used to. They went back right away. The Crocs website says their shoes are available in narrow sizes but I haven't found them anywhere online in narrow.

",Size: 8 Women/6 MenColor: Navy,3 people found this helpful,"Reviewed in the United States on June 5, 2020"
"
Back Strap Is Sized Bigger Than Shoe
",krafty pixie,1.0 out of 5 stars,"

  I have loved Crocs & have bought countless pairs. This pair was defective. The back strap was clearly a size larger than the shoe itself. It was raised up & did not fit flush when it rested on the top of the shoe & was longer then the shoe back than it should be. I will be returning these & not ordering any more from this seller or any other. Crocs have been going downhill for a while- not lasting as long as they used to, etc. I was hoping the quality had improved, but apparently it's just getting worse.

",Size: 6 Women/4 MenColor: Garnet,3 people found this helpful,"Reviewed in the United States on May 15, 2020"
"
Hideous Cheesy Feet
",Teacher/Business Owner,2.0 out of 5 stars,"

  I got these because someone recommended them for wearing around the house on our hard tile floors. We take off our outdoor shoes inside our home. Anyhow, they are the ugliest pair of shoes I have ever owned. They also make my feet look huge and wide. But that is ok since I got them to wear inside and not many people will see me in them. However, there is another problem. In spite of the holes, they get very hot and are not breathable. If you wear them without socks, your feet will get stinky sweaty. Lastly the arch support is ok, not as good as Birkenstock. The only good thing is they are soft and cushiony which I need walking around in hard tile. But other than that, I think they are no good and don’t understand the popularity. To me they are just overpriced made in china foam shoes. Nothing great. I wish I got a pair of EVA birkenstocks to wear around the house instead. Eva Birks are not as ugly, and have better arch support and nice cushion. Also price wise I think they are about the same. My Husband got the Birkenstock’s and I like his way way better. Also birks are made in Germany (not China like crocs) and they are better quality as a result.

",Size: 8 Women/6 MenColor: Tropical Teal,One person found this helpful,"Reviewed in the United States on June 10, 2019"
"
Counterfeit I think
",Robert P.,1.0 out of 5 stars,"

  I was so disappointed by the fit. I've owned dozens of Crocs and these dug into my feet where the circular connectors are. I'm not sure whether they're counterfeit but I'm at a Field and Stream store now trying on an authentic pair and they fit perfectly just like they always did. I should have returned them. Buyer beware at these prices.

",Size: 14 Women/12 MenColor: Black,7 people found this helpful,"Reviewed in the United States on September 11, 2018"
"
Fatal Flaw - “Made In Mexico” - Raised Heel Strap Printing
",zride96,1.0 out of 5 stars,"

  I have been buying Crocs for my son since he was old enough to walk. He’s always found them comfortable and we have gone through many pairs over the years. Now we just bought a new pair and they fit great with ONE BIG EXCEPTION. They are now “Made in Mexico” and they used raised printed lettering on the inside of the heel strap that is very uncomfortable. When my son pointed this out and how uncomfortable it would be I thought he was kidding. Sure enough I ran my fingers over it and yeah it would be very uncomfortable. Luckily I had his previous pair and was able to remove the heel strap, without any printing, and replace it on the new pair. Most people may not have this option so I would caution against buying these as I know it would rub against the skin and be very uncomfortable. Bad decision from the manufacturer! I hope this can be corrected ASAP. They almost were returned because of one seriously fatal flaw from the manufacturer.

",Size: 11 Women/9 MenColor: Navy,,"Reviewed in the United States on October 22, 2020"
"
bleh
",Beckie J,1.0 out of 5 stars,"

  ugh. I don't find these comfortable at all. They're a  lightweight rubbery kind of  shoe that makes my feet hot and sweaty, the inside is too bumpy and rough and my knees started aching after walking around in them for less than 15 minutes. Walking in them is not a pleasure.I suppose I will use them around water, but it's kind of disappointing because everyone seems to like them.

",Size: 13 Women/11 MenColor: Khaki,7 people found this helpful,"Reviewed in the United States on May 17, 2018"
"
They run large. And contained a brown recluse spider. Thanks a lot Amazon.
",hdsbdjus,2.0 out of 5 stars,"

  Shoes arrived in an absolutely filthy plastic shipping bag, 6 days after ordering. The shoes were in an inner bag so I assumed they were okay, but they weren't...Didn't check the inside of the shoes before wearing - they are supposed to be new. Immediately after trying them on got a needle-like sharp pain in my toe and a black and blue swollen spot. (I didn't see the Recluse spider as they are very shy and inconspicuous and quickly disappear. (I have had these bites before and know what they are like). The pain kept coming back. Luckily I had a homeopathic salve and pills on hand. After applying the salve twice and taking the pills twice and sticking my foot in a cold compress, the pain subsided.The next day my toe is still swollen and a little sore...  Thanks for the envenomation, Amazon.Re the shoes: Love the color and ease of wearing. Love that it's waterproof. Got stuck in a rainstorm today - no problem. The only problem was the seller/packaging. I will only say this. Buy from a different vendor.

",Size: 10 Women/8 MenColor: Tangerine,One person found this helpful,"Reviewed in the United States on May 29, 2020"
"
The size 9/11 croc made in Mexico sold in this ...
",Terranut,1.0 out of 5 stars,"

  The size 9/11 croc made in Mexico sold in this store, is 2 sizes smaller than the size 9/11 made and sold in US.  Same product, same numbers and big difference in size!!!

",Size: 11 Women/9 MenColor: Khaki,13 people found this helpful,"Reviewed in the United States on June 13, 2017"
"
These crocs are tighter and different than my many older pairs
",Katie,2.0 out of 5 stars,"

  The cut of these crocs is different than my older ones. It is very tight around the instep and cut is different on the heel. The material is much stiffer than my other crocs. Debating whether to order a larger size, or try to break them in. But the whole point of crocs is that they are roomy and require no break in time. What is going on with crocs now? Why are they shaped differently? I loved crocs and have a lot of foot issues so would like to find a solution.

",Size: 8 Women/6 MenColor: Navy,3 people found this helpful,"Reviewed in the United States on February 6, 2019"
"
they are NOT happy how did they have persnal information prime???
",Take care of the earth it's our home 🏡,1.0 out of 5 stars,"

  Will call amazon on this personal information was given out !!!It was more then color are they china knock offs these were junk or made wrong tripped 2 tiem in home that God I was not in a street etc like to left feet very hard to tell knock off this company product also has gone to mexico and also making crocs not a nursing choose or doctors etc ! Very wide no a noral  foot for a gift for by husband a surprize so I used them he tripped to my sons in medical the color is off not deep wine more red look like clowns shoes we put twith 5 year lod croc wow the old one are much better so we will trash them as I don;t think the are safe sorry sell look close at your stock are you a vender???????

",Size: 11 Women/9 MenColor: Garnet,One person found this helpful,"Reviewed in the United States on July 23, 2019"
"
Does not fit right - Too small - Not soft
",Los Angeles Dweller,1.0 out of 5 stars,"

  I had to return it as it did not fit right.It doesn't have enough height for the size.  It was also a lot harder than previous Crocs I bought which were very comfortable, so even buying a bigger size would not have worked (and the bigger size would have been too long.I don't know why Crocs seem to think that people's feet have changed in th past few years...

",Size: 13 Women/11 MenColor: Navy,5 people found this helpful,"Reviewed in the United States on December 8, 2018"
"
Size depends on where they’re made
",Mars Leigh,3.0 out of 5 stars,"

  These are my first crocs I’ve ever purchased. I was looking for a comfy house shoe that I could also wear out if needed. I couldn’t decide which color I wanted so I ordered two with the plans of returning one. They’re both the same size, but they’re off from each other. One is from Mexico and the other pair are from China. The China pair (pink) are noticeably larger in width. The orange Mexico pair are more narrow and the footbed is shorter in height as well. Very strange. It’s hard because I like the orange color more, but I like how the pink ones fit. I might have to keep returning until I get the right fit. Definitely a hassle, but I know once I have the right ones it’ll be worth it.

",Size: 6 Women/4 MenColor: Cantaloupe,,"Reviewed in the United States on September 4, 2020"
"
Insides are coated in glitter, stains feet
",Super-Elastic,1.0 out of 5 stars,"

  I have previously enjoyed three pairs of Crocs and ordered two pairs this time. Both pairs arrived with tags in a sealed plastic bag. Both pairs were coated with glitter on the inside. I had to immediately wash them thoroughly lest the glitter get tracked throughout my house. Previous Crocs I've owned did not have glitter, nor have any other shoes I've ever purchased for that matter. One pair additionally had a small dirty spot. Very strange, and makes me wonder if they are fake. ""Bright cobalt"" does not look like the picture, but is instead more of a royal blue. After several weeks the blue color continues to rub off and stain socks and skin.

",Size: 15 Women/13 MenColor: Bright Cobalt,,"Reviewed in the United States on November 3, 2020"
"
Not the original Crocs
",LeMon Tree,1.0 out of 5 stars,"

  My husband had a pair that was made in Canada.  After several years, the soles have smoothed out making them a slip hazard, so I decided it was time to purchase a new pair.  What a disappointment.  They new pair was made in Vietnam. They are not the soft squishy, great arch support Crocs that they used to make.  What a shame.  After wearing his new pair for a week, he went back to wearing his old, original Crocs.  So sad that you can't purchase the original Crocs anymore.  :(

",Size: 12 Women/10 MenColor: Navy,One person found this helpful,"Reviewed in the United States on June 13, 2020"
"
Very narrow!!!
",Krystal Schindler ,1.0 out of 5 stars,"

  I bought these for my daughter back at the end of May. She said they were tight but wanted to keep them. After much complaining I finally bought her a new pair, same size at a local retail store. I couldn’t believe they were the same size as the ones I bought on here. These were so narrow it was crazy. I would not buy again on here. I honestly have no idea how they were so different.

",Size: 9 Women/7 MenColor: Black,One person found this helpful,"Reviewed in the United States on December 2, 2020"
"
Not as Pictured. Quality not up to par.
",Prime Shopper,2.0 out of 5 stars,"

  The shoe pictured is not the shoe they sent. I sent it as a gift to my mother, and she commented on this, and the fact they don’t cushion her foot like the other pair she had before...same style shoe/same brand. The others she says she can wear all day, these she has to add an additional pair of socks or “stay on the carpet”.I suspect these may be a counterfeit product.

",Size: 8 Women/6 MenColor: Black,One person found this helpful,"Reviewed in the United States on December 7, 2020"
"
Terrible First Experience.
",RedRoller,1.0 out of 5 stars,"

  I have to totally agree with other reviewers.  The strap on the back forces your toes to dig into the front of the shoe and even when not using the strap, the shoes force your toenails to dig into the front of the shoe.  The bumps on the sole of the shoe are sharp and not comfortable.  I dont know what they changed since this is my first pair, but I will never buy another pair of crocs.

",Size: 12 Women/10 MenColor: Black,4 people found this helpful,"Reviewed in the United States on November 22, 2019"
"
A little snug. Go at least one size larger.
",Cynthia,3.0 out of 5 stars,"

  These crocs were exactly what I ordered and wanted for my daughter. But when my daughter put them on she said they were a little snugger than her last crocs, (though same size) and not as sturdy or steady. Her last pair of crocs were the ones without holes around the toes.  The sole on her previous pair was a little flatter and the outside rim had a dark blue stripe around the shoe ( I think they were called crocband  clogs). This was her comparative to the new crocs. She’s still happy with new crocs since they look like the ones her friends are wearing. But i think the previous crocs fit better and were more comfortable.

",Size: 8 Women/6 MenColor: White,One person found this helpful,"Reviewed in the United States on October 25, 2019"
